"City","year","quarter_3m","SP","LP","DOM","dollar_per_sqft","Cap_Rate_Pct","GRM","dollar_per_unit","count","QoQ_perc_change_SP","price_diff","period_index","period","period_label"
"MONTCLAIR",2018,1,750000,750000,0,208.797327394209,4.15942186666667,10.5166890676433,187500,4,NA,0,8072,"2018-Q1","2018-Q1"
"ONTARIO",2018,1,608000,600000,14,258.503401360544,3.79994247191011,11.3177687938571,220000,18,NA,-8000,8072,"2018-Q1","2018-Q1"
"POMONA",2018,1,567750,567500,25.5,238.522181496461,4.12003882137374,11.1105320378081,203125,36,NA,-250,8072,"2018-Q1","2018-Q1"
"REDLANDS",2018,1,629500,629499.5,24.5,217.4818534179,5.14381971601597,8.91582794151097,166585,8,NA,-0.5,8072,"2018-Q1","2018-Q1"
"UPLAND",2018,1,787500,797444,200.5,259.84765950713,3.59156251428571,11.5319083054716,196875,12,NA,9944,8072,"2018-Q1","2018-Q1"
"MONTCLAIR",2018,2,832500,804000,18,218.682616377103,3.71756979650743,11.7145833868645,208125,4,11,-28500,8073,"2018-Q2","2018-Q2"
"ONTARIO",2018,2,497000,448000,20,262.396694214876,3.70624098765432,12.422014592389,222500,34,-18.2565789473684,-49000,8073,"2018-Q2","2018-Q2"
"POMONA",2018,2,620000,580000,33,266.959798994975,3.84580096861254,11.2543297075278,197250,50,9.20299427564949,-40000,8073,"2018-Q2","2018-Q2"
"REDLANDS",2018,2,592500,607000,20.5,205.282175842629,4.9073877891437,9.49989636789691,181375,8,-5.87768069896743,14500,8073,"2018-Q2","2018-Q2"
"UPLAND",2018,2,777500,833500,36,254.918669472674,3.44301127644222,12.9856199028817,238125,8,-1.26984126984127,56000,8073,"2018-Q2","2018-Q2"
"CLAREMONT",2018,3,1010500,1043750,43,504.356004356004,2.30281721786168,24.2751905794648,505250,4,NA,33250,8074,"2018-Q3","2018-Q3"
"MONTCLAIR",2018,3,510000,525000,23,251.597444089457,3.3524912,13.5786705807999,255000,6,-38.7387387387387,15000,8074,"2018-Q3","2018-Q3"
"ONTARIO",2018,3,431000,449000,17,251.914052852556,4.04031064935065,11.667016677167,215500,26,-13.2796780684105,18000,8074,"2018-Q3","2018-Q3"
"POMONA",2018,3,555000,549000,19,254.084089776261,4.71705978552618,9.88837367487353,186875,28,-10.4838709677419,-6000,8074,"2018-Q3","2018-Q3"
"REDLANDS",2018,3,625000,632449.5,28.5,190.86402632224,4.95294242424242,9.67500031228685,185000,12,5.48523206751055,7449.5,8074,"2018-Q3","2018-Q3"
"UPLAND",2018,3,760000,764950,11.5,271.500931685169,3.49906518976016,12.8873902808211,235600,12,-2.2508038585209,4950,8074,"2018-Q3","2018-Q3"
"CLAREMONT",2018,4,692500,685000,17.5,320.093457943925,3.31412790201415,16.7524309580881,346250,4,-31.4695695200396,-7500,8075,"2018-Q4","2018-Q4"
"MONTCLAIR",2018,4,630000,625000,11,251.597444089457,4.30946054651396,13.259869447114,265000,6,23.5294117647059,-5000,8075,"2018-Q4","2018-Q4"
"ONTARIO",2018,4,546000,525000,38.5,255.272115224279,3.96028732826748,11.1487720857026,203666.5,44,26.6821345707657,-21000,8075,"2018-Q4","2018-Q4"
"POMONA",2018,4,530000,549000,25,255.431591309454,3.49386313465784,12.6228850397913,226500,26,-4.5045045045045,19000,8075,"2018-Q4","2018-Q4"
"REDLANDS",2018,4,495000,495000,13,210.555555555556,4.3757637735849,10.2803469603537,189500,13,-20.8,0,8075,"2018-Q4","2018-Q4"
"UPLAND",2018,4,552500,552500,6,278.758829465187,3.43553570093458,13.9177519651606,267500,6,-27.3026315789474,0,8075,"2018-Q4","2018-Q4"
"MONTCLAIR",2019,1,642500,659900,21,220.755910500386,3.83545081686429,11.9336973774293,218125,4,1.98412698412698,17400,8076,"2019-Q1","2019-Q1"
"ONTARIO",2019,1,540000,545000,11,262.84348864994,4.05698956521739,12.0796956192811,228750,26,-1.0989010989011,5000,8076,"2019-Q1","2019-Q1"
"POMONA",2019,1,612500,620000,84,202.745849297573,4.28079212598425,11.087242983303,211666.666666667,26,15.5660377358491,7500,8076,"2019-Q1","2019-Q1"
"REDLANDS",2019,1,427500,430000,22.5,196.900406504065,5.3246431062236,8.51919692990089,169375,10,-13.6363636363636,2500,8076,"2019-Q1","2019-Q1"
"UPLAND",2019,1,698500,747499.5,30,262.084033847847,3.69341901307143,12.4088462241469,229000,4,26.4253393665158,48999.5,8076,"2019-Q1","2019-Q1"
"CLAREMONT",2019,2,1032500,1057500,8,403.193968053905,2.76138149028749,18.9870895991774,403750,4,49.0974729241877,25000,8077,"2019-Q2","2019-Q2"
"MONTCLAIR",2019,2,619000,624875,49.5,250.133825566783,3.98389281850484,11.6336244460028,212625,4,-3.65758754863813,5875,8077,"2019-Q2","2019-Q2"
"ONTARIO",2019,2,415000,450000,81,293.745851747527,3.90445516920557,11.3707807206477,207500,16,-23.1481481481481,35000,8077,"2019-Q2","2019-Q2"
"POMONA",2019,2,565000,575000,25,244.755244755245,4.04353291925466,11.077406439262,202500,34,-7.75510204081633,10000,8077,"2019-Q2","2019-Q2"
"REDLANDS",2019,2,537000,547000,14.5,215.550109177273,4.75582520576309,9.51420012873577,175000,12,25.6140350877193,10000,8077,"2019-Q2","2019-Q2"
"UPLAND",2019,2,612500,612450,42,322.265744393059,3.53501113060429,12.8475854181063,225000,16,-12.3120973514674,-50,8077,"2019-Q2","2019-Q2"
"CLAREMONT",2019,3,760000,765000,11,303.635637235318,3.12421631578947,17.3499962697508,380000,2,-26.3922518159806,5000,8078,"2019-Q3","2019-Q3"
"MONTCLAIR",2019,3,790000,799999,49,230.859146697838,4.10836050632911,10.8853554253365,197500,2,27.6252019386107,9999,8078,"2019-Q3","2019-Q3"
"ONTARIO",2019,3,659888,549800,21,274.953333333333,3.77886469565217,12.360734968084,202250,22,59.009156626506,-110088,8078,"2019-Q3","2019-Q3"
