"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM"
NA,7,"21-781180",469,"INC","S","1158  W 10Th St ","POMONA",6,"3.00 (0 0 0 0)",1904,"$365.02",695000,695000,"","9,311",1965,45,3,2022-02-07,34.0501262,-117.7642396,NA,3,1862.04,5586.12,5306.814,63681.768,"<50",1.18,10030,30090,2799.314,33591.768,695000,0.0483334791366906,4.83334791366906,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2022,2,1,10.9136417192437
NA,10,"21-789932",1543,"INC","S","716  W Phillips ST ","ONTARIO",30,"45.00 (0 0 0 0)",17070,"$301.70",5150000,5250000,"","46,282",1984,87,15,2021-12-29,34.0497502,-117.6611072,NA,15,2049.97,30749.55,29212.0725,350544.87,"<50",1.18,10030,150450,16674.5725,200094.87,5250000,0.0381133085714286,3.81133085714286,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",45,2021,12,4,14.9766847251252
NA,20,"22-127753",1543,"INC","S","1225  N EL DORADO AVE ","ONTARIO",16,"22.00 (0 0 0 0)",11168,"$353.69",3950000,3750000,"","28,416",1968,48,17,2022-06-06,34.0803285,-117.6248244,NA,17,1564.54,26597.18,25267.321,303207.852,"<50",1.18,10030,170510,11058.1543333333,132697.852,3750000,0.0353860938666667,3.53860938666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",22,2022,6,2,12.3677535897058
NA,18,"22-128131",1795,"INC","S","455  S CAMPUS AVE ","UPLAND",26,"26.00 (0 0 0 0)",16388,"$292.90",4800000,4582644,"","31,500",1986,4,18,2022-04-22,34.0881479,-117.6414698,NA,18,1817.82,32720.76,31084.722,373016.664,"<50",1.18,10030,180540,16039.722,192476.664,4582644,0.0420012254934051,4.20012254934051,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",26,2022,4,2,12.2853599913166
NA,5,"22-134455",1543,"INC","S","827  N PALMETTO AVE ","ONTARIO",17,"14.00 (0 0 0 0)",10210,"$342.80",3500000,3500000,"","12,640",1966,61,14,2022-05-21,34.0726754,-117.6687473,NA,14,1725.37,24155.18,22947.421,275369.052,"<50",1.18,10030,140420,11245.7543333333,134949.052,3500000,0.038556872,3.8556872,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",14,2022,5,2,12.7102155255994
NA,39,"22-154355",1455,"INC","S","4661   KINGSLEY ST ","MONTCLAIR",4,"2.00 (0 0 0 0)",1728,"$436.92",755000,735000,"","7,137",1964,136,2,2022-10-26,34.0667205,-117.7035363,NA,2,2026.17,4052.34,3849.723,46196.676,"<50",1.18,10030,20060,2178.05633333333,26136.676,735000,0.0355601034013605,3.55601034013605,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,10,4,15.9102356195498
NA,25,"22-160265",1455,"INC","S","5125   BANDERA ST #A-L","MONTCLAIR",24,"12.00 (0 0 0 0)",10044,"$433.09",4350000,4321500,"","30,800",1963,147,12,2022-11-02,34.064976,-117.6932194,NA,12,1957.93,23495.16,22320.402,267844.824,"<50",1.18,10030,120360,12290.402,147484.824,4321500,0.034128155501562,3.4128155501562,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",12,2022,11,4,16.1343420248435
NA,17,"22-190707",1795,"INC","S","165   Wiseman Way ","UPLAND",10,"6.00 (0 0 0 0)",4109,"$350.21",1439000,1363000,"","16,861",1985,28,4,2022-10-27,34.0957043,-117.6556894,NA,4,2203.03,8812.12,8371.514,100458.168,"<50",1.18,10030,40120,5028.18066666667,60338.168,1363000,0.0442686485693324,4.42686485693324,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2022,10,4,13.5678365147969
NA,1,"220002580SD",469,"INC","S","826   Gordon St ","POMONA",5,"3.00 (0 0 0 0)",NA,"$0",649900,570000,"","13,096",NA,7,2,2022-03-03,34.0658623,-117.7535049,NA,2,2180.97,4361.94,4143.843,49726.116,"<50",1.18,10030,20060,2472.17633333333,29666.116,570000,0.0520458175438596,5.20458175438596,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2022,3,1,11.4627894927486
NA,34,"6600PF",1543,"INC","S","522  E State ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1312,"$342.99",450000,450000,"$0.00","6,160",1924,91,2,2022-01-28,34.0599916,-117.64546,NA,2,1909.68,3819.36,3628.392,43540.704,"<50",1.18,10030,20060,1956.72533333333,23480.704,450000,0.0521793422222222,5.21793422222222,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,1,1,10.3351567305848
