"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM","CITY_KEY","lat","lon","addr","SP_num","popup_html"
NA,10,"21-789932",1543,"INC","S","716  W Phillips ST ","ONTARIO",30,"45.00 (0 0 0 0)",17070,"$301.70",5150000,5250000,"","46,282",1984,87,15,2021-12-29,34.0497502,-117.6611072,NA,15,2049.97,30749.55,29212.0725,350544.87,"<50",1.18,10030,150450,16674.5725,200094.87,5250000,0.0381133085714286,3.81133085714286,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",45,2021,12,4,14.9766847251252,"ONTARIO",34.0497502,-117.6611072,"716  W Phillips ST ",5250000,"<b>716  W Phillips ST </b><br/>SP: $5,250,000<br/>Date: 2021-12-29<br/># Units: 15<br/>Cap Rate: 3.81%<br/>GRM: 15"
NA,20,"22-127753",1543,"INC","S","1225  N EL DORADO AVE ","ONTARIO",16,"22.00 (0 0 0 0)",11168,"$353.69",3950000,3750000,"","28,416",1968,48,17,2022-06-06,34.0803285,-117.6248244,NA,17,1564.54,26597.18,25267.321,303207.852,"<50",1.18,10030,170510,11058.1543333333,132697.852,3750000,0.0353860938666667,3.53860938666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",22,2022,6,2,12.3677535897058,"ONTARIO",34.0803285,-117.6248244,"1225  N EL DORADO AVE ",3750000,"<b>1225  N EL DORADO AVE </b><br/>SP: $3,750,000<br/>Date: 2022-06-06<br/># Units: 17<br/>Cap Rate: 3.54%<br/>GRM: 12.4"
NA,18,"22-128131",1795,"INC","S","455  S CAMPUS AVE ","UPLAND",26,"26.00 (0 0 0 0)",16388,"$292.90",4800000,4582644,"","31,500",1986,4,18,2022-04-22,34.0881479,-117.6414698,NA,18,1817.82,32720.76,31084.722,373016.664,"<50",1.18,10030,180540,16039.722,192476.664,4582644,0.0420012254934051,4.20012254934051,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",26,2022,4,2,12.2853599913166,"UPLAND",34.0881479,-117.6414698,"455  S CAMPUS AVE ",4582644,"<b>455  S CAMPUS AVE </b><br/>SP: $4,582,644<br/>Date: 2022-04-22<br/># Units: 18<br/>Cap Rate: 4.2%<br/>GRM: 12.3"
NA,5,"22-134455",1543,"INC","S","827  N PALMETTO AVE ","ONTARIO",17,"14.00 (0 0 0 0)",10210,"$342.80",3500000,3500000,"","12,640",1966,61,14,2022-05-21,34.0726754,-117.6687473,NA,14,1725.37,24155.18,22947.421,275369.052,"<50",1.18,10030,140420,11245.7543333333,134949.052,3500000,0.038556872,3.8556872,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",14,2022,5,2,12.7102155255994,"ONTARIO",34.0726754,-117.6687473,"827  N PALMETTO AVE ",3500000,"<b>827  N PALMETTO AVE </b><br/>SP: $3,500,000<br/>Date: 2022-05-21<br/># Units: 14<br/>Cap Rate: 3.86%<br/>GRM: 12.7"
NA,39,"22-154355",1455,"INC","S","4661   KINGSLEY ST ","MONTCLAIR",4,"2.00 (0 0 0 0)",1728,"$436.92",755000,735000,"","7,137",1964,136,2,2022-10-26,34.0667205,-117.7035363,NA,2,2026.17,4052.34,3849.723,46196.676,"<50",1.18,10030,20060,2178.05633333333,26136.676,735000,0.0355601034013605,3.55601034013605,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,10,4,15.9102356195498,"MONTCLAIR",34.0667205,-117.7035363,"4661   KINGSLEY ST ",735000,"<b>4661   KINGSLEY ST </b><br/>SP: $735,000<br/>Date: 2022-10-26<br/># Units: 2<br/>Cap Rate: 3.56%<br/>GRM: 15.9"
NA,25,"22-160265",1455,"INC","S","5125   BANDERA ST #A-L","MONTCLAIR",24,"12.00 (0 0 0 0)",10044,"$433.09",4350000,4321500,"","30,800",1963,147,12,2022-11-02,34.064976,-117.6932194,NA,12,1957.93,23495.16,22320.402,267844.824,"<50",1.18,10030,120360,12290.402,147484.824,4321500,0.034128155501562,3.4128155501562,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",12,2022,11,4,16.1343420248435,"MONTCLAIR",34.064976,-117.6932194,"5125   BANDERA ST #A-L",4321500,"<b>5125   BANDERA ST #A-L</b><br/>SP: $4,321,500<br/>Date: 2022-11-02<br/># Units: 12<br/>Cap Rate: 3.41%<br/>GRM: 16.1"
NA,17,"22-190707",1795,"INC","S","165   Wiseman Way ","UPLAND",10,"6.00 (0 0 0 0)",4109,"$350.21",1439000,1363000,"","16,861",1985,28,4,2022-10-27,34.0957043,-117.6556894,NA,4,2203.03,8812.12,8371.514,100458.168,"<50",1.18,10030,40120,5028.18066666667,60338.168,1363000,0.0442686485693324,4.42686485693324,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2022,10,4,13.5678365147969,"UPLAND",34.0957043,-117.6556894,"165   Wiseman Way ",1363000,"<b>165   Wiseman Way </b><br/>SP: $1,363,000<br/>Date: 2022-10-27<br/># Units: 4<br/>Cap Rate: 4.43%<br/>GRM: 13.6"
NA,34,"6600PF",1543,"INC","S","522  E State ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1312,"$342.99",450000,450000,"$0.00","6,160",1924,91,2,2022-01-28,34.0599916,-117.64546,NA,2,1909.68,3819.36,3628.392,43540.704,"<50",1.18,10030,20060,1956.72533333333,23480.704,450000,0.0521793422222222,5.21793422222222,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,1,1,10.3351567305848,"ONTARIO",34.0599916,-117.64546,"522  E State ST ",450000,"<b>522  E State ST </b><br/>SP: $450,000<br/>Date: 2022-01-28<br/># Units: 2<br/>Cap Rate: 5.22%<br/>GRM: 10.3"
NA,5,"AR21188002MR",1543,"INC","S","1020  W F ST ","ONTARIO",NA,"6.00 (0 0 0 0)",4868,"$307.72",1498000,1450000,"$0.00","10,125",1957,47,6,2021-11-17,34.0697691,-117.6674237,NA,6,1913.49,11480.94,10906.893,130882.716,"<50",1.18,10030,60180,5891.893,70702.716,1450000,0.0487604937931034,4.87604937931034,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",6,2021,11,4,11.0786209540456,"ONTARIO",34.0697691,-117.6674237,"1020  W F ST ",1450000,"<b>1020  W F ST </b><br/>SP: $1,450,000<br/>Date: 2021-11-17<br/># Units: 6<br/>Cap Rate: 4.88%<br/>GRM: 11.1"
NA,1,"AR21196297MR",1795,"INC","S","591  E 9th St ","UPLAND",NA," (0 0 0 0)",1040,"$552.88",575000,575000,"","8,418",1926,17,2,2021-10-18,34.0961696,-117.6474418,NA,2,1859.4,3718.8,3532.86,42394.32,"<50",1.18,10030,20060,1861.19333333333,22334.32,575000,0.0388422956521739,3.88422956521739,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2021,10,4,13.5631377033527,"UPLAND",34.0961696,-117.6474418,"591  E 9th St ",575000,"<b>591  E 9th St </b><br/>SP: $575,000<br/>Date: 2021-10-18<br/># Units: 2<br/>Cap Rate: 3.88%<br/>GRM: 13.6"
