"CITY_KEY","year","quarter_3m","median_LP","median_DOM_lease","count","period_index","period","period_label"
"CLAREMONT",2018,1,2650,21,5,8072,"2018-Q1","2018-Q1"
"CLAREMONT",2018,2,2195,5,5,8073,"2018-Q2","2018-Q2"
"CLAREMONT",2018,3,2497.5,23,6,8074,"2018-Q3","2018-Q3"
"CLAREMONT",2018,4,2750,30,4,8075,"2018-Q4","2018-Q4"
"CLAREMONT",2019,1,2425,20.5,6,8076,"2019-Q1","2019-Q1"
"CLAREMONT",2019,2,2747.5,21.5,2,8077,"2019-Q2","2019-Q2"
"CLAREMONT",2019,3,2785,49.5,6,8078,"2019-Q3","2019-Q3"
"CLAREMONT",2019,4,2100,34,7,8079,"2019-Q4","2019-Q4"
"CLAREMONT",2020,1,3100,31,3,8080,"2020-Q1","2020-Q1"
"CLAREMONT",2020,2,2575,3,2,8081,"2020-Q2","2020-Q2"
"CLAREMONT",2020,3,2750,20,5,8082,"2020-Q3","2020-Q3"
"CLAREMONT",2020,4,2800,30,5,8083,"2020-Q4","2020-Q4"
"CLAREMONT",2021,1,2750,5,1,8084,"2021-Q1","2021-Q1"
"CLAREMONT",2021,2,2800,9,3,8085,"2021-Q2","2021-Q2"
"CLAREMONT",2021,3,2925,6,6,8086,"2021-Q3","2021-Q3"
"CLAREMONT",2021,4,3050,9.5,6,8087,"2021-Q4","2021-Q4"
"CLAREMONT",2022,1,3050,8,4,8088,"2022-Q1","2022-Q1"
"CLAREMONT",2022,2,3300,11,11,8089,"2022-Q2","2022-Q2"
"CLAREMONT",2022,3,3650,13.5,4,8090,"2022-Q3","2022-Q3"
"CLAREMONT",2022,4,2800,26.5,4,8091,"2022-Q4","2022-Q4"
"CLAREMONT",2023,1,3200,17,3,8092,"2023-Q1","2023-Q1"
"CLAREMONT",2023,2,2700,25,31,8093,"2023-Q2","2023-Q2"
"CLAREMONT",2023,3,3500,26.5,8,8094,"2023-Q3","2023-Q3"
"CLAREMONT",2023,4,3300,23,9,8095,"2023-Q4","2023-Q4"
"CLAREMONT",2024,1,3400,50.5,10,8096,"2024-Q1","2024-Q1"
"CLAREMONT",2024,2,3400,17,5,8097,"2024-Q2","2024-Q2"
"CLAREMONT",2024,3,3500,12,5,8098,"2024-Q3","2024-Q3"
"CLAREMONT",2024,4,3400,47.5,6,8099,"2024-Q4","2024-Q4"
"CLAREMONT",2025,1,3800,14,7,8100,"2025-Q1","2025-Q1"
"CLAREMONT",2025,2,3345,9.5,10,8101,"2025-Q2","2025-Q2"
"CLAREMONT",2025,3,3400,32,26,8102,"2025-Q3","2025-Q3"
"MONTCLAIR",2018,1,1700,14,1,8072,"2018-Q1","2018-Q1"
"MONTCLAIR",2018,2,1995,48,3,8073,"2018-Q2","2018-Q2"
"MONTCLAIR",2018,3,1975,13.5,6,8074,"2018-Q3","2018-Q3"
"MONTCLAIR",2019,1,1647.5,45,4,8076,"2019-Q1","2019-Q1"
"MONTCLAIR",2019,2,2125,52,4,8077,"2019-Q2","2019-Q2"
"MONTCLAIR",2019,3,2075,8,4,8078,"2019-Q3","2019-Q3"
"MONTCLAIR",2019,4,2227.5,47,2,8079,"2019-Q4","2019-Q4"
"MONTCLAIR",2020,1,1775,27.5,4,8080,"2020-Q1","2020-Q1"
"MONTCLAIR",2020,2,1850,37,1,8081,"2020-Q2","2020-Q2"
"MONTCLAIR",2020,3,1950,28,5,8082,"2020-Q3","2020-Q3"
"MONTCLAIR",2020,4,2000,9,2,8083,"2020-Q4","2020-Q4"
"MONTCLAIR",2021,1,1600,31,1,8084,"2021-Q1","2021-Q1"
"MONTCLAIR",2021,2,2100,2,3,8085,"2021-Q2","2021-Q2"
"MONTCLAIR",2021,3,2200,25,3,8086,"2021-Q3","2021-Q3"
"MONTCLAIR",2022,1,2700,11,5,8088,"2022-Q1","2022-Q1"
"MONTCLAIR",2022,2,2440,23.5,2,8089,"2022-Q2","2022-Q2"
"MONTCLAIR",2022,3,2800,13,5,8090,"2022-Q3","2022-Q3"
